date,rank,rating
09/24/2022,372.0,0.0003724376076717
09/25/2022,372.0,0.0003724407370081
09/26/2022,372.0,0.0003724434878135
09/27/2022,372.0,0.0003724460554049
09/28/2022,372.0,0.0003724484944528
09/29/2022,372.0,0.0003724508335116
09/30/2022,372.0,0.0003724530905107
10/01/2022,372.0,0.0003724552778833
10/02/2022,372.0,0.0003724574048126
10/03/2022,372.0,0.0003724594783863
10/04/2022,372.0,0.0003724615042548
10/05/2022,372.0,0.0003724634870368
10/06/2022,371.0,0.0003724654305829
10/07/2022,371.0,0.0003724673381556
10/08/2022,371.0,0.0003724692125565
10/09/2022,371.0,0.0003724710562185
10/10/2022,371.0,0.0003724728712749
10/11/2022,371.0,0.000372474659612
10/12/2022,371.0,0.0003724764229098
10/13/2022,371.0,0.0003724781626743
10/14/2022,370.0,0.0003733542461794
10/15/2022,370.0,0.0003733559468058
10/16/2022,370.0,0.0003733576275603
10/17/2022,370.0,0.0003733592894692
10/18/2022,370.0,0.0003733609334739
10/19/2022,370.0,0.0003733625604414
10/20/2022,370.0,0.0003733641711724
10/21/2022,370.0,0.0003733657664089
10/22/2022,370.0,0.0003733673468396
10/23/2022,370.0,0.0003733689131063
10/24/2022,370.0,0.0003733704658077
10/25/2022,328.0,0.0004174710612721
10/26/2022,328.0,0.0004174727688678
10/27/2022,328.0,0.0004174744630603
10/28/2022,328.0,0.000417476144368
10/29/2022,328.0,0.0004174778132794
10/30/2022,328.0,0.0004174794702554
10/31/2022,328.0,0.0004174811157318
11/01/2022,328.0,0.0004174827501209
11/02/2022,328.0,0.0004174843738136
11/03/2022,328.0,0.0004174859871807
11/04/2022,328.0,0.0004174875905745
11/05/2022,328.0,0.0004174891843301
11/06/2022,328.0,0.0004174907687667
11/07/2022,328.0,0.0004174923441885
11/08/2022,328.0,0.0004174939108855
11/09/2022,328.0,0.0004174954691351
11/10/2022,326.0,0.0004185956955685
11/11/2022,326.0,0.0004185972417647
11/12/2022,328.0,0.0004164071636038
11/13/2022,328.0,0.0004164086866043
11/14/2022,328.0,0.0004164102023931
11/15/2022,328.0,0.0004164117111837
11/16/2022,328.0,0.0004164132131813
11/17/2022,325.0,0.0004219374500762
11/18/2022,325.0,0.0004219389588196
11/19/2022,325.0,0.0004219404612566
11/20/2022,325.0,0.0004219419575654
11/21/2022,325.0,0.0004219434479175
11/22/2022,325.0,0.0004219449324783
11/23/2022,325.0,0.0004219464114075
11/24/2022,325.0,0.0004219478848589
11/25/2022,325.0,0.0004219493529816
11/26/2022,325.0,0.000421950815919
11/27/2022,324.0,0.0004219522738103
11/28/2022,324.0,0.0004219537267897
11/29/2022,324.0,0.0004219551749875
11/30/2022,324.0,0.0004219566185293
12/01/2022,304.0,0.0004468488418302
12/02/2022,304.0,0.0004468503610471
12/03/2022,304.0,0.0004468518757091
12/04/2022,303.0,0.0004468533859338
12/05/2022,302.0,0.0004468548918351
12/06/2022,302.0,0.000446856393524
12/07/2022,302.0,0.0004468578911078
12/08/2022,302.0,0.0004468593846911
12/09/2022,301.0,0.0004468608743752
12/10/2022,302.0,0.0004468623602589
12/11/2022,302.0,0.0004468638424379
12/12/2022,302.0,0.0004468653210056
12/13/2022,303.0,0.0004468667960527
12/14/2022,301.0,0.0004468682676674
12/15/2022,297.0,0.0004571426034287
12/16/2022,297.0,0.0004571441021129
12/17/2022,297.0,0.0004571455975429
12/18/2022,282.0,0.0004777393010524
12/19/2022,282.0,0.0004777408572956
12/20/2022,281.0,0.0004806290714766
12/21/2022,281.0,0.00048063063086
12/22/2022,281.0,0.0004806321872288
12/23/2022,278.0,0.0004865130524708
12/24/2022,278.0,0.0004865146220021
12/25/2022,278.0,0.0004865161887057
12/26/2022,278.0,0.0004865177526526
12/27/2022,278.0,0.0004865193139124
12/28/2022,278.0,0.0004865208725528
12/29/2022,278.0,0.0004865224286401
12/30/2022,278.0,0.0004865239822393
12/31/2022,278.0,0.0004865255334137
01/01/2023,278.0,0.0004865270822253
01/02/2023,278.0,0.0004865286287348
01/03/2023,279.0,0.0004865301730015
01/04/2023,279.0,0.0004865317150835
01/05/2023,275.0,0.0004940881192463
01/06/2023,270.0,0.0005050694516976
01/07/2023,270.0,0.0005050710460711
01/08/2023,270.0,0.0005050726384057
01/09/2023,270.0,0.0005050742287555
01/10/2023,270.0,0.0005050758171738
01/11/2023,270.0,0.0005050774037129
01/12/2023,270.0,0.0005050789884239
01/13/2023,270.0,0.0005050805713568
01/14/2023,270.0,0.000505082152561
